Symbol,Ticker_NS,Base_Profit_Row,Base_Year,Sales_2025,Dividend_Payout_%,EPS_TTM,Operating_Profit_Base,Operating_Profit_2025,Tax_%,Interest,Market_Cap,Shares,Cost_of_Equity,CAGR,PE,PEG,Dividend_Yield,Dividend Yield,EV,EV_to_Capital_Employed,Inverse_Earning_Yield,Book_Value,Intrinsic_Value,Reverse Beta calculation,Current_Price,Beta from Money Control
COFORGE,COFORGE.NS,Operating Profit,2020,12051,63,29.99,725,1694,26,135,57935.04,33.45,13.93,0.18,59.85,3.24,0.13,1.777631643,58636.04,76.35,34.61,190.68,126.8,1.099554235,1794.8,1.42
HCLTECH,HCLTECH.NS,Operating Profit,2020,117055,94,62.56,17316,25504,25,644,397850.44,271.37,13.06,0.08,24.67,3.06,0.26,5.723579043,400141.44,141.19,15.69,256.68,1415.77,0.970282318,1543.5,1.14
INFY,INFY.NS,Operating Profit,2020,162990,67,67.71,22267,39236,29,416,614472.91,415.44,12.12,0.12,21.94,1.83,0.18,4.259695576,614472.91,296.42,15.66,230.64,2345.28,0.8306092125,1485.5,1.21
LTIM,LTIM.NS,Operating Profit,2020,38008,42,164.31,2029,6495,26,279,153869.95,29.64,15.21,0.26,34.72,1.33,0.09,1.613365114,153871.95,4808.5,23.69,765.78,319.07,1.2897474,5704.5,1.26
MPHASIS,MPHASIS.NS,Operating Profit,2020,14230,64,91.64,1650,2647,25,166,55037.98,19.03,15.68,0.1,30.38,3.06,0.17,3.197383267,56153.98,43,21.21,506.07,104.06,1.359583952,2784.2,1.51
OFSS,OFSS.NS,Operating Profit,2020,6847,97,273.17,2229,3076,28,0,73114.32,8.69,12.72,0.07,30.78,4.63,0.09,4.084108221,73114.32,1700.33,23.77,962.13,,0.9197622585,8407,1.49
PERSISTENT,PERSISTENT.NS,Operating Profit,2020,11939,39,107.03,493,2058,23,67,83939.88,15.64,15.95,0.33,55.41,1.68,0.05,0.8652573651,83939.88,1076.15,40.79,404.03,80.53,1.399702823,5931,
TCS,TCS.NS,Operating Profit,2020,255324,94,136.65,42109,67407,25,796,1120702.61,361.81,12.72,0.1,22.08,2.24,0.22,5.805047358,1120702.61,3095.86,16.63,261.9,3296.28,0.9197622585,3016.8,0.95
TECHM,TECHM.NS,Operating Profit,2020,52988,94,45.81,5503,6964,25,322,147693.65,97.93,13.53,0.05,30.99,6.43,0.36,4.708078438,148164.65,162.28,21.28,279.4,385.98,1.040118871,1419.8,1.11
WIPRO,WIPRO.NS,Operating Profit,2020,89088,48,12.89,12342,18021,24,1477,261622.27,1048.33,12.12,0.08,18.66,2.37,0.17,3.430891857,277803.27,15.2,15.42,79.01,1294.63,0.8306092125,240.5,1.06
APLAPOLLO,APLAPOLLO.NS,Operating Profit,2020,20690,21,28.87,478,1199,21,133,46498.48,27.76,9.69,0.2,62.22,3.08,0.09,0.5049685423,47113.48,70.21,39.29,151.6,203.53,0.4695393759,1796.2,
ADANIENT,ADANIENT.NS,Operating Profit,2020,97895,2,55.45,2294,14252,28,5978,264157.34,115.42,0,0.44,44.49,1.01,0.01,0.1001049585,340393.34,4.46,23.88,435.93,,-0.970282318,2467,
HINDALCO,HINDALCO.NS,Operating Profit,2020,238496,7,75.34,14306,31805,28,3419,166957.69,224.72,18.11,0.17,11.25,0.65,0.09,1.169407209,228888.69,3.68,7.2,550.5,2467.76,1.720653789,847.2,
HINDCOPPER,HINDCOPPER.NS,Operating Profit,2020,2071,30,5.03,411,738,26,8,23979.29,96.7,25.24,0.12,67.94,5.47,0.02,0.6699503514,24146.29,37.09,32.72,27.52,35.06,2.780089153,341.75,
HINDZINC,HINDZINC.NS,Operating Profit,2021,34083,118,25.01,11672,17431,24,1095,187857.68,422.53,10.5,0.08,19.22,2.3,0.2,10.1278629,198508.68,17.27,11.39,31.54,1529,0.5898959881,480.65,
JSWSTEEL,JSWSTEEL.NS,Operating Profit,2020,168824,24,24.65,11813,22725,31,8412,262201.57,244.55,12.92,0.14,48.48,3.47,0.14,1.866291857,358158.57,3.72,15.76,325.08,2714.61,0.9494799406,1195,
JSL,JSL.NS,Operating Profit,2020,39312,10,31.21,1132,4469,25,612,62660.03,82.38,12.18,0.32,24.04,0.76,0.06,0.7229291582,68958.03,10.67,15.43,202.58,546.05,0.8395245171,750.4,
